"","Platform","Type","Company","Released","Units.sold..Million.units.","Attatch.Rate","Count.Misc","Count.Sports","Count.Action","Count.Puzzle","Count.RP"
"1","2600","Home","Atari",1977,30,4.8,425,355,430,80,35
"2","NES","Home","Nintendo",1983,61.91,8.08,30,18,25,14,11
"3","PC","Home","NEC",1987,10,1,32,11,12,22,21
"4","GEN","Home","Sega",1988,40,16,770,215,661,317,200
"5","GB","Handheld","Nintendo",1989,118.69,4.22,190,325,639,35,76
"6","SNES","Home","Nintendo",1990,49.1,7.72,192,305,686,27,119
"7","GG","Handheld","Sega",1990,10.62,1,415,616,854,89,187
"8","3DO","Home","The 3DO co",1993,2,1,52,58,51,28,50
"9","PS","Home","Sony",1994,102.49,9.43,270,152,268,59,73
"10","SAT","Home","Sega",1994,9.26,16.74,111,37,240,35,86
"11","N64","Home","Nintendo",1996,32.93,6.63,31,60,192,6,47
"12","DC","Home","Sega",1998,9.13,8,58,137,95,21,8
"13","NG","Handheld","SNK",1998,2,1,200,367,430,102,97
"14","WS","Handheld","Bandai",1999,3.5,1,119,293,361,28,23
"15","PS2","Home","Sony",2000,160,9.81,150,109,384,213,104
"16","GBA","Handheld","Nintendo",2001,81.51,4.63,15,18,89,11,0
"17","XB","Home","Microsoft",2001,24,6.88,171,200,546,104,192
"18","GC","Home","Nintendo",2001,21.74,9.69,22,55,120,3,13
"19","DS","Handheld","Nintendo",2004,154.02,6.16,121,173,211,24,27
"20","PSP","Handheld","Sony",2004,80,3.88,38,11,81,7,6
"21","X360","Home","Microsoft",2005,84,7.5,8,4,11,1,3
"22","Wii","Home","Nintendo",2006,101.63,9.05,3,16,29,0,4
"23","PS3","Home","Sony",2006,87.4,8.92,37,34,249,10,83
"24","3DS","Handheld","Nintendo",2011,75.94,5.03,27,24,82,23,17
"25","PSV","Handheld","Sony",2011,12.5,10,0,0,0,2,4
"26","WiiU","Home","Nintendo",2012,13.56,7.52,0,1,11,0,0
"27","PS4","Home","Sony",2013,117.2,13.8,1,0,1,1,0
"28","XOne","Home","Microsoft",2013,58,6.55,1,0,0,0,0
